CharacteristicName,ResultMeasure/MeasureUnitCode,Frequency
"1,2,4-Trichlorobenzene",ug/l,103
"1,2,4-Trimethylbenzene",ug/l,92
"1,2-Dibromo-3-chloropropane",ug/l,93
"1,2-Dichlorobenzene-d4",%,1
"1,2-Dichlorobenzene-d4",ug/l,75
"1,2-Dichloroethane",ug/kg,32
"1,2-Dichloroethane",ug/l,104
"1,2-Dichloroethane-d4",%,11
"1,2-Dichloropropane",ug/kg,32
"1,2-Dichloropropane",ug/l,102
"1,2-Dichloropropene",ug/l,2
"1,2-Dimethylnaphthalene",ug/kg,8
"1,2-Diphenylhydrazine",ug/g,2
"1,2-Diphenylhydrazine",ug/kg,267
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",ug/kg,18
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",ug/l,2
"1,3,5-Trimethylbenzene",ug/l,92
"1,3-Dichlorobenzene",ug/l,16
"1,3-Dichloropropane",ug/kg,2
"1,3-Dichloropropane",ug/l,103
"1,4-Dichlorobenzene-d4",ug/l,75
"1,6,7-Trimethylnaphthalene",ug/kg,2
"1,6-Dimethylnaphthalene",ug/kg,146
1-(Aminomethyl)cyclohexaneacetic acid,ng/l,2
1-Chloronaphthalene,ug/l,9
1-Ethylnaphthalene,ug/kg,2
1-Methylfluorene,ug/kg,64
1-Methylnaphthalene,None,1
1-Methylnaphthalene,ng,4
1-Methylnaphthalene,ng/g,89
1-Methylnaphthalene,ng/l,10
1-Methylnaphthalene,ug/kg,101
1-Methylnaphthalene,ug/l,19
1-Methylphenanthrene,ug/kg,121
1-Methylpyrene,ug/kg,89
1-Naphthalenamine,ug/l,9
11-Tricosene,ug/g,2
11H-Benzo[a]fluorene,ug/kg,2
11H-Benzo[b]fluorene,ug/kg,2
13C-Chlor_tox,%,62
13C-Chlordane,%,62
13C-Lindane,%,42
13C-gHCH (Lindane),%,20
"13C-p,p'-DDE",%,62
16-Epiestriol-d2,%,18
"17.beta.-Estradiol-13,14,15,16,17,18-13C6",%,18
"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",ng,31
"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",ng/g,80
"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",ng/kg,246
"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",ng/l,50
"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",pg/g,74
"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",pg/l,1
"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",ppb,2
"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",ug/g,6
"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",ng,31
"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",ng/g,81
"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",ng/kg,246
"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",ng/l,50
"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",pg/g,74
"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",pg/l,2
"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",ppb,1
"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",ug/g,6
"2,2',3,3',4,4',5,6'-Octachlorobiphenyl",ng,30
"2,2',3,3',4,4',5,6'-Octachlorobiphenyl",ng/g,50
"2,2',3,3',4,4',5,6'-Octachlorobiphenyl",ng/kg,246
"2,2',3,3',4,4',5,6'-Octachlorobiphenyl",pg/g,70
"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",%,10
"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",ng,30
"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",ng/g,9
"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",ng/kg,246
"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",pg/g,70
"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",ppb,1
"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",ug/g,6
"2,2',3,3',4,4',5,6-Octachlorobiphenyl",ng/g,9
"2,2',3,3',4,4',5,6-Octachlorobiphenyl",ng/kg,246
"2,2',3,3',4,4',5,6-Octachlorobiphenyl",pg/g,8
"2,2',3,3',4,4',5,6-Octachlorobiphenyl",ppb,1
"2,2',3,3',4,4',5,6-Octachlorobiphenyl",ug/g,6
"2,2',3,3',4,4',5-Heptachlorobiphenyl",ng,4
"2,2',3,3',4,4',5-Heptachlorobiphenyl",ng/g,64
"2,2',3,3',4,4',5-Heptachlorobiphenyl",ng/kg,246
"2,2',3,3',4,4',5-Heptachlorobiphenyl",pg/g,70
"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",ng,14
"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",ng/g,63
"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",pg/g,58
"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",ppb,1
"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",ug/g,6
"2,2',3,3',4,4',6-Heptachlorobiphenyl",ng,20
"2,2',3,3',4,4',6-Heptachlorobiphenyl",ng/g,8
"2,2',3,3',4,4',6-Heptachlorobiphenyl",pg/g,8
"2,2',3,3',4,4',6-Heptachlorobiphenyl",ppb,1
"2,2',3,3',4,4',6-Heptachlorobiphenyl",ug/g,6
"2,2',3,3',4,4'-Hexachlorobiphenyl",ng,34
"2,2',3,3',4,4'-Hexachlorobiphenyl",ng/g,28
"2,2',3,3',4,4'-Hexachlorobiphenyl",pg/g,66
"2,2',3,3',4,4'-Hexachlorobiphenyl",pg/l,3
"2,2',3,3',4,4'-Hexachlorobiphenyl",ppb,1
"2,2',3,3',4,4'-Hexachlorobiphenyl",ug/g,6
"2,2',3,3',4,5',6'-Heptachlorobiphenyl",ng,34
"2,2',3,3',4,5',6'-Heptachlorobiphenyl",ng/g,85
"2,2',3,3',4,5',6'-Heptachlorobiphenyl",ng/kg,246
"2,2',3,3',4,5',6'-Heptachlorobiphenyl",ng/l,50
"2,2',3,3',4,5',6'-Heptachlorobiphenyl",pg/g,70
"2,2',3,3',4,5',6'-Heptachlorobiphenyl",pg/l,2
"2,2',3,3',4,5',6'-Heptachlorobiphenyl",ppb,1
"2,2',3,3',4,5',6'-Heptachlorobiphenyl",ug/g,6
"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",ng,31
"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",ng/g,29
"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",ng/kg,246
"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",ng/l,50
"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",pg/g,74
"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",pg/l,1
"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",ug/g,6
"2,2',3,3',4,5',6-Heptachlorobiphenyl",ng,30
"2,2',3,3',4,5',6-Heptachlorobiphenyl",ng/g,59
"2,2',3,3',4,5',6-Heptachlorobiphenyl",ng/kg,246
"2,2',3,3',4,5',6-Heptachlorobiphenyl",pg/g,70
"2,2',3,3',4,5',6-Heptachlorobiphenyl",ppb,1
"2,2',3,3',4,5',6-Heptachlorobiphenyl",ug/g,6
"2,2',3,3',4,5'-Hexachlorobiphenyl",None,5
"2,2',3,3',4,5'-Hexachlorobiphenyl",ng,30
"2,2',3,3',4,5'-Hexachlorobiphenyl",ng/g,54
"2,2',3,3',4,5'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,3',4,5'-Hexachlorobiphenyl",pg/g,68
"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",ng,32
"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",ng/g,77
"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",ng/l,50
"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",pg/g,66
"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",ppb,1
"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",ug/g,6
"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",ng/g,63
"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",ng/kg,246
"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",pg/g,8
"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",ppb,1
"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",ug/g,6
"2,2',3,3',4,5,5',6-Octachlorobiphenyl",ng,30
"2,2',3,3',4,5,5',6-Octachlorobiphenyl",ng/g,6
"2,2',3,3',4,5,5',6-Octachlorobiphenyl",pg/g,66
"2,2',3,3',4,5,5',6-Octachlorobiphenyl",ppb,1
"2,2',3,3',4,5,5',6-Octachlorobiphenyl",ug/g,6
"2,2',3,3',4,5,5'-Heptachlorobiphenyl",ng,18
"2,2',3,3',4,5,5'-Heptachlorobiphenyl",ng/g,73
"2,2',3,3',4,5,5'-Heptachlorobiphenyl",ng/kg,246
"2,2',3,3',4,5,5'-Heptachlorobiphenyl",pg/g,74
"2,2',3,3',4,5,5'-Heptachlorobiphenyl",pg/l,1
"2,2',3,3',4,5,5'-Heptachlorobiphenyl",ppb,1
"2,2',3,3',4,5,5'-Heptachlorobiphenyl",ug/g,6
"2,2',3,3',4,5,6'-Heptachlorobiphenyl",ng,31
"2,2',3,3',4,5,6'-Heptachlorobiphenyl",ng/g,85
"2,2',3,3',4,5,6'-Heptachlorobiphenyl",ng/kg,246
"2,2',3,3',4,5,6'-Heptachlorobiphenyl",ng/l,50
"2,2',3,3',4,5,6'-Heptachlorobiphenyl",pg/g,70
"2,2',3,3',4,5,6'-Heptachlorobiphenyl",pg/l,3
"2,2',3,3',4,5,6'-Heptachlorobiphenyl",ppb,1
"2,2',3,3',4,5,6'-Heptachlorobiphenyl",ug/g,6
"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",ng/g,49
"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",pg/g,8
"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",ppb,1
"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",ug/g,6
"2,2',3,3',4,5,6-Heptachlorobiphenyl",ng,14
"2,2',3,3',4,5,6-Heptachlorobiphenyl",ng/g,55
"2,2',3,3',4,5,6-Heptachlorobiphenyl",pg/g,68
"2,2',3,3',4,5,6-Heptachlorobiphenyl",ug/g,6
"2,2',3,3',4,5-Hexachlorobiphenyl",ng,14
"2,2',3,3',4,5-Hexachlorobiphenyl",ng/g,7
"2,2',3,3',4,5-Hexachlorobiphenyl",pg/g,66
"2,2',3,3',4,5-Hexachlorobiphenyl",ppb,1
"2,2',3,3',4,5-Hexachlorobiphenyl",ug/g,6
"2,2',3,3',4,6'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,3',4,6'-Hexachlorobiphenyl",pg/g,6
"2,2',3,3',4,6,6'-Heptachlorobiphenyl",ng,4
"2,2',3,3',4,6,6'-Heptachlorobiphenyl",ng/g,60
"2,2',3,3',4,6,6'-Heptachlorobiphenyl",ng/kg,246
"2,2',3,3',4,6,6'-Heptachlorobiphenyl",pg/g,8
"2,2',3,3',4,6,6'-Heptachlorobiphenyl",ppb,1
"2,2',3,3',4,6-Hexachlorobiphenyl",ng,16
"2,2',3,3',4,6-Hexachlorobiphenyl",ng/g,59
"2,2',3,3',4,6-Hexachlorobiphenyl",ng/kg,246
"2,2',3,3',4,6-Hexachlorobiphenyl",pg/g,8
"2,2',3,3',4,6-Hexachlorobiphenyl",ppb,1
"2,2',3,3',4,6-Hexachlorobiphenyl",ug/g,6
"2,2',3,3',4-Pentachlorobiphenyl",ng,34
"2,2',3,3',4-Pentachlorobiphenyl",ng/g,33
"2,2',3,3',4-Pentachlorobiphenyl",ng/kg,246
"2,2',3,3',4-Pentachlorobiphenyl",ng/l,50
"2,2',3,3',4-Pentachlorobiphenyl",pg/g,68
"2,2',3,3',4-Pentachlorobiphenyl",pg/l,3
"2,2',3,3',4-Pentachlorobiphenyl",ug/g,2
"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",ng/g,63
"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",ng/kg,246
"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",pg/g,8
"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",ug/g,6
"2,2',3,3',5,5',6-Heptachlorobiphenyl",ng,18
"2,2',3,3',5,5',6-Heptachlorobiphenyl",ng/g,26
"2,2',3,3',5,5',6-Heptachlorobiphenyl",ng/kg,246
"2,2',3,3',5,5',6-Heptachlorobiphenyl",ng/l,50
"2,2',3,3',5,5',6-Heptachlorobiphenyl",pg/g,74
"2,2',3,3',5,5',6-Heptachlorobiphenyl",pg/l,2
"2,2',3,3',5,5',6-Heptachlorobiphenyl",ppb,1
"2,2',3,3',5,5',6-Heptachlorobiphenyl",ug/g,6
"2,2',3,3',5,5'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,3',5,5'-Hexachlorobiphenyl",pg/g,6
"2,2',3,3',5,6'-Hexachlorobiphenyl",ng,4
"2,2',3,3',5,6'-Hexachlorobiphenyl",ng/g,60
"2,2',3,3',5,6'-Hexachlorobiphenyl",pg/g,8
"2,2',3,3',5,6,6'-Heptachlorobiphenyl",ng,4
"2,2',3,3',5,6,6'-Heptachlorobiphenyl",ng/g,60
"2,2',3,3',5,6,6'-Heptachlorobiphenyl",ng/kg,246
"2,2',3,3',5,6,6'-Heptachlorobiphenyl",pg/g,8
"2,2',3,3',5,6,6'-Heptachlorobiphenyl",ppb,1
"2,2',3,3',5,6-Hexachlorobiphenyl",ng,17
"2,2',3,3',5,6-Hexachlorobiphenyl",ng/g,59
"2,2',3,3',5,6-Hexachlorobiphenyl",pg/g,66
"2,2',3,3',5,6-Hexachlorobiphenyl",ppb,1
"2,2',3,3',5,6-Hexachlorobiphenyl",ug/g,6
"2,2',3,3',5-Pentachlorobiphenyl",ng,33
"2,2',3,3',5-Pentachlorobiphenyl",ng/g,12
"2,2',3,3',5-Pentachlorobiphenyl",ng/kg,8
"2,2',3,3',5-Pentachlorobiphenyl",pg/g,66
"2,2',3,3',5-Pentachlorobiphenyl",pg/l,2
"2,2',3,3',5-Pentachlorobiphenyl",ppb,1
"2,2',3,3',5-Pentachlorobiphenyl",ug/g,4
"2,2',3,3',6,6'-Hexachlorobiphenyl",None,5
"2,2',3,3',6,6'-Hexachlorobiphenyl",ng,34
"2,2',3,3',6,6'-Hexachlorobiphenyl",ng/g,16
"2,2',3,3',6,6'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,3',6,6'-Hexachlorobiphenyl",ng/l,50
"2,2',3,3',6,6'-Hexachlorobiphenyl",pg/g,8
"2,2',3,3',6,6'-Hexachlorobiphenyl",ppb,1
