CharacteristicName,ResultMeasure/MeasureUnitCode,Frequency
"2,2',3,4,4',5-Hexachlorobiphenyl",ppb,1
"2,2',3,4,4',6'-Hexachlorobiphenyl",pg/g,6
"2,2',3,4,4',6,6'-Heptachlorobiphenyl",ng/kg,246
"2,2',3,4,4',6,6'-Heptachlorobiphenyl",pg/g,4
"2,2',3,4,4',6-Hexachlorobiphenyl",pg/g,6
"2,2',3,4,4'-Pentachlorobiphenyl",ng,33
"2,2',3,4,4'-Pentachlorobiphenyl",ng/g,30
"2,2',3,4,4'-Pentachlorobiphenyl",ng/l,50
"2,2',3,4,4'-Pentachlorobiphenyl",pg/g,8
"2,2',3,4,4'-Pentachlorobiphenyl",pg/l,9
"2,2',3,4,4'-Pentachlorobiphenyl",ppb,1
"2,2',3,4,4'-Pentachlorobiphenyl",ug/g,6
"2,2',3,4,5',6-Hexachlorobiphenyl",ng,4
"2,2',3,4,5',6-Hexachlorobiphenyl",ng/g,2
"2,2',3,4,5',6-Hexachlorobiphenyl",ng/kg,246
"2,2',3,4,5',6-Hexachlorobiphenyl",pg/g,8
"2,2',3,4,5'-Pentachlorobiphenyl",ng,34
"2,2',3,4,5'-Pentachlorobiphenyl",ng/g,82
"2,2',3,4,5'-Pentachlorobiphenyl",ng/l,50
"2,2',3,4,5'-Pentachlorobiphenyl",pg/g,74
"2,2',3,4,5'-Pentachlorobiphenyl",pg/l,11
"2,2',3,4,5'-Pentachlorobiphenyl",ppb,1
"2,2',3,4,5,5',6-Heptachlorobiphenyl",ng,34
"2,2',3,4,5,5',6-Heptachlorobiphenyl",ng/g,22
"2,2',3,4,5,5',6-Heptachlorobiphenyl",ng/l,50
"2,2',3,4,5,5',6-Heptachlorobiphenyl",pg/g,68
"2,2',3,4,5,5',6-Heptachlorobiphenyl",pg/l,2
"2,2',3,4,5,5',6-Heptachlorobiphenyl",ppb,1
"2,2',3,4,5,5',6-Heptachlorobiphenyl",ug/g,6
"2,2',3,4,5,5'-Hexachlorobiphenyl",ng,34
"2,2',3,4,5,5'-Hexachlorobiphenyl",ng/g,80
"2,2',3,4,5,5'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,4,5,5'-Hexachlorobiphenyl",ng/l,50
"2,2',3,4,5,5'-Hexachlorobiphenyl",pg/g,74
"2,2',3,4,5,5'-Hexachlorobiphenyl",pg/l,2
"2,2',3,4,5,5'-Hexachlorobiphenyl",ppb,1
"2,2',3,4,5,5'-Hexachlorobiphenyl",ug/g,6
"2,2',3,4,5,6'-Hexachlorobiphenyl",pg/g,8
"2,2',3,4,5,6,6'-Heptachlorobiphenyl",ng/kg,246
"2,2',3,4,5,6-Hexachlorobiphenyl",ng/kg,246
"2,2',3,4,5,6-Hexachlorobiphenyl",pg/g,2
"2,2',3,4,5-Pentachlorobiphenyl",pg/g,8
"2,2',3,4,6'-Pentachlorobiphenyl",ng,30
"2,2',3,4,6'-Pentachlorobiphenyl",ng/g,1
"2,2',3,4,6'-Pentachlorobiphenyl",ng/kg,246
"2,2',3,4,6'-Pentachlorobiphenyl",pg/g,54
"2,2',3,4,6'-Pentachlorobiphenyl",pg/l,4
"2,2',3,4,6,6'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,4,6-Pentachlorobiphenyl",pg/g,8
"2,2',3,4-Tetrachlorobiphenyl",pg/g,8
"2,2',3,5',6-Pentachlorobiphenyl",ng,34
"2,2',3,5',6-Pentachlorobiphenyl",ng/g,65
"2,2',3,5',6-Pentachlorobiphenyl",ng/kg,8
"2,2',3,5',6-Pentachlorobiphenyl",pg/g,68
"2,2',3,5',6-Pentachlorobiphenyl",pg/l,12
"2,2',3,5',6-Pentachlorobiphenyl",ppb,1
"2,2',3,5'-Tetrachlorobiphenyl",ng,34
"2,2',3,5'-Tetrachlorobiphenyl",ng/g,79
"2,2',3,5'-Tetrachlorobiphenyl",ng/l,50
"2,2',3,5'-Tetrachlorobiphenyl",pg/g,66
"2,2',3,5'-Tetrachlorobiphenyl",pg/l,10
"2,2',3,5'-Tetrachlorobiphenyl",ppb,1
"2,2',3,5,5',6-Hexachlorobiphenyl",ng,34
"2,2',3,5,5',6-Hexachlorobiphenyl",ng/g,89
"2,2',3,5,5',6-Hexachlorobiphenyl",ng/l,50
"2,2',3,5,5',6-Hexachlorobiphenyl",pg/g,74
"2,2',3,5,5',6-Hexachlorobiphenyl",pg/l,7
"2,2',3,5,5',6-Hexachlorobiphenyl",ppb,1
"2,2',3,5,5',6-Hexachlorobiphenyl",ug/g,6
"2,2',3,5,5'-Pentachlorobiphenyl",ng,4
"2,2',3,5,5'-Pentachlorobiphenyl",ng/g,56
"2,2',3,5,5'-Pentachlorobiphenyl",ng/kg,246
"2,2',3,5,5'-Pentachlorobiphenyl",pg/g,68
"2,2',3,5,6'-Pentachlorobiphenyl",ng/kg,246
"2,2',3,5,6'-Pentachlorobiphenyl",pg/g,6
"2,2',3,5,6,6'-Hexachlorobiphenyl",%,42
"2,2',3,5,6,6'-Hexachlorobiphenyl",ng/kg,246
"2,2',3,5,6,6'-Hexachlorobiphenyl",pg/g,6
"2,2',3,5,6-Pentachlorobiphenyl",pg/g,4
"2,2',3,5-Tetrachlorobiphenyl",ng,30
"2,2',3,5-Tetrachlorobiphenyl",ng/kg,246
"2,2',3,5-Tetrachlorobiphenyl",pg/g,36
"2,2',3,5-Tetrachlorobiphenyl",pg/l,2
"2,2',3,6'-Tetrachlorobiphenyl",ng,30
"2,2',3,6'-Tetrachlorobiphenyl",ng/g,51
"2,2',3,6'-Tetrachlorobiphenyl",ng/kg,246
"2,2',3,6'-Tetrachlorobiphenyl",ng/l,50
"2,2',3,6'-Tetrachlorobiphenyl",pg/g,38
"2,2',3,6'-Tetrachlorobiphenyl",pg/l,7
"2,2',3,6'-Tetrachlorobiphenyl",ppb,1
"2,2',3,6,6'-Pentachlorobiphenyl",ng/kg,246
"2,2',3,6,6'-Pentachlorobiphenyl",pg/g,8
"2,2',3,6-Tetrachlorobiphenyl",ng,30
"2,2',3,6-Tetrachlorobiphenyl",ng/g,39
"2,2',3,6-Tetrachlorobiphenyl",ng/l,50
"2,2',3,6-Tetrachlorobiphenyl",pg/g,44
"2,2',3,6-Tetrachlorobiphenyl",pg/l,5
"2,2',3,6-Tetrachlorobiphenyl",ppb,1
"2,2',3-Trichlorobiphenyl",ng,14
"2,2',3-Trichlorobiphenyl",ng/g,24
"2,2',3-Trichlorobiphenyl",ng/kg,246
"2,2',3-Trichlorobiphenyl",pg/g,8
"2,2',4,4',5',6-HXBDE",ng/g,96
"2,2',4,4',5,5'-HXBDE",ng/g,80
"2,2',4,4',5,5'-Hexabromobiphenyl",ng/g,42
"2,2',4,4',5,5'-Hexachlorobiphenyl",ng,4
"2,2',4,4',5,5'-Hexachlorobiphenyl",ng/g,60
"2,2',4,4',5,5'-Hexachlorobiphenyl",pg/g,72
"2,2',4,4',5,5'-Hexachlorobiphenyl",ppb,1
"2,2',4,4',5,6'-Hexachlorobiphenyl",ng/kg,8
"2,2',4,4',5,6'-Hexachlorobiphenyl",pg/g,8
"2,2',4,4',5-Pentachlorobiphenyl",ng,34
"2,2',4,4',5-Pentachlorobiphenyl",ng/g,89
"2,2',4,4',5-Pentachlorobiphenyl",ng/kg,8
"2,2',4,4',5-Pentachlorobiphenyl",ng/l,50
"2,2',4,4',5-Pentachlorobiphenyl",pg/g,74
"2,2',4,4',5-Pentachlorobiphenyl",pg/l,13
"2,2',4,4',5-Pentachlorobiphenyl",ppb,1
"2,2',4,4',5-Pentachlorobiphenyl",ug/g,6
"2,2',4,4',6,6'-Hexachlorobiphenyl",ng/kg,246
"2,2',4,4',6-Pentachlorobiphenyl",ng,30
"2,2',4,4',6-Pentachlorobiphenyl",ng/g,46
"2,2',4,4',6-Pentachlorobiphenyl",pg/g,62
"2,2',4,4',6-Pentachlorobiphenyl",pg/l,7
"2,2',4,4'-Tetrachlorobiphenyl",ng,15
"2,2',4,4'-Tetrachlorobiphenyl",ng/g,11
"2,2',4,4'-Tetrachlorobiphenyl",pg/g,66
"2,2',4,4'-Tetrachlorobiphenyl",pg/l,7
"2,2',4,5',6-Pentachlorobiphenyl",ng/kg,246
"2,2',4,5',6-Pentachlorobiphenyl",pg/g,8
"2,2',4,5'-Tetrachlorobiphenyl",ng,34
"2,2',4,5'-Tetrachlorobiphenyl",ng/g,82
"2,2',4,5'-Tetrachlorobiphenyl",ng/l,50
"2,2',4,5'-Tetrachlorobiphenyl",pg/g,66
"2,2',4,5'-Tetrachlorobiphenyl",pg/l,13
"2,2',4,5'-Tetrachlorobiphenyl",ppb,1
"2,2',4,5,5'-Pentachlorobiphenyl",ng,34
"2,2',4,5,5'-Pentachlorobiphenyl",ng/g,35
"2,2',4,5,5'-Pentachlorobiphenyl",ng/l,50
"2,2',4,5,5'-Pentachlorobiphenyl",pg/g,74
"2,2',4,5,5'-Pentachlorobiphenyl",pg/l,13
"2,2',4,5,5'-Pentachlorobiphenyl",ug/g,6
"2,2',4,5,6'-Pentachlorobiphenyl",pg/g,4
"2,2',4,5-Tetrachlorobiphenyl",ng,14
"2,2',4,5-Tetrachlorobiphenyl",ng/g,33
"2,2',4,5-Tetrachlorobiphenyl",ng/kg,246
"2,2',4,5-Tetrachlorobiphenyl",pg/g,54
"2,2',4,5-Tetrachlorobiphenyl",pg/l,7
"2,2',4,6'-Tetrachlorobiphenyl",ng,30
"2,2',4,6'-Tetrachlorobiphenyl",ng/g,16
"2,2',4,6'-Tetrachlorobiphenyl",pg/g,42
"2,2',4,6'-Tetrachlorobiphenyl",pg/l,6
"2,2',4,6,6'-Pentachlorobiphenyl",ng/kg,246
"2,2',4,6,6'-Pentachlorobiphenyl",pg/g,4
"2,2',4,6-Tetrachlorobiphenyl",%,4
"2,2',4,6-Tetrachlorobiphenyl",pg/g,8
"2,2',4-Trichlorobiphenyl",ng,19
"2,2',4-Trichlorobiphenyl",ng/g,50
"2,2',4-Trichlorobiphenyl",ng/kg,246
"2,2',4-Trichlorobiphenyl",ng/l,50
"2,2',4-Trichlorobiphenyl",pg/g,8
"2,2',4-Trichlorobiphenyl",pg/l,12
"2,2',4-Trichlorobiphenyl",ppb,1
"2,2',5,5'-Tetrachlorobiphenyl",ng,34
"2,2',5,5'-Tetrachlorobiphenyl",ng/g,86
"2,2',5,5'-Tetrachlorobiphenyl",ng/kg,246
"2,2',5,5'-Tetrachlorobiphenyl",ng/l,50
"2,2',5,5'-Tetrachlorobiphenyl",pg/g,66
"2,2',5,5'-Tetrachlorobiphenyl",pg/l,4
"2,2',5,5'-Tetrachlorobiphenyl",ppb,1
"2,2',5,6'-Tetrachlorobiphenyl",ng,33
"2,2',5,6'-Tetrachlorobiphenyl",ng/g,27
"2,2',5,6'-Tetrachlorobiphenyl",pg/g,30
"2,2',5,6'-Tetrachlorobiphenyl",pg/l,9
"2,2',5-Trichlorobiphenyl",ng,34
"2,2',5-Trichlorobiphenyl",ng/g,35
"2,2',5-Trichlorobiphenyl",ng/l,50
"2,2',5-Trichlorobiphenyl",pg/g,58
"2,2',5-Trichlorobiphenyl",ppb,1
"2,2',6,6'-Tetrachlorobiphenyl",ng/kg,246
"2,2',6,6'-Tetrachlorobiphenyl",pg/g,8
"2,2',6-Trichlorobiphenyl",ng,30
"2,2',6-Trichlorobiphenyl",ng/g,31
"2,2',6-Trichlorobiphenyl",ng/kg,246
"2,2',6-Trichlorobiphenyl",ng/l,50
"2,2',6-Trichlorobiphenyl",pg/g,20
"2,2',6-Trichlorobiphenyl",ppb,1
"2,2'-Dichlorobiphenyl",ng/kg,246
"2,2'-Dichlorobiphenyl",pg/g,8
"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",None,26
"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",ng/g,125
"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",pg/l,13
"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",ug/g,106
"2,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",ug/kg,44
"2,2-Dichloropropane",ug/kg,2
"2,2-Dichloropropane",ug/l,12
"2,3',4',5',6-Pentachlorobiphenyl",pg/g,8
"2,3',4',5'-Tetrachlorobiphenyl",pg/g,8
"2,3',4',5,5'-Pentachlorobiphenyl",ng,21
"2,3',4',5,5'-Pentachlorobiphenyl",ng/g,54
"2,3',4',5,5'-Pentachlorobiphenyl",pg/g,8
"2,3',4',5-Tetrachlorobiphenyl",ng,3
"2,3',4',5-Tetrachlorobiphenyl",ng/g,55
"2,3',4',5-Tetrachlorobiphenyl",pg/g,8
"2,3',4',6-TEBDE",%,42
"2,3',4',6-Tetrachlorobiphenyl",ng/g,54
"2,3',4',6-Tetrachlorobiphenyl",pg/g,8
"2,3',4'-Trichlorobiphenyl",ng,30
"2,3',4'-Trichlorobiphenyl",ng/g,16
"2,3',4'-Trichlorobiphenyl",ng/l,50
"2,3',4'-Trichlorobiphenyl",pg/g,46
"2,3',4'-Trichlorobiphenyl",ppb,1
"2,3',4,4',5',6-Hexachlorobiphenyl",pg/g,6
"2,3',4,4',5'-Pentachlorobiphenyl",ng,3
"2,3',4,4',5'-Pentachlorobiphenyl",ng/g,76
"2,3',4,4',5'-Pentachlorobiphenyl",ng/kg,246
"2,3',4,4',5'-Pentachlorobiphenyl",pg/g,4
"2,3',4,4',5'-Pentachlorobiphenyl",ug/g,6
"2,3',4,4',5,5'-Hexachlorobiphenyl",ng,30
"2,3',4,4',5,5'-Hexachlorobiphenyl",ng/g,135
"2,3',4,4',5,5'-Hexachlorobiphenyl",ng/kg,246
"2,3',4,4',5,5'-Hexachlorobiphenyl",pg/g,70
"2,3',4,4',5,5'-Hexachlorobiphenyl",ug/g,6
"2,3',4,4',5-PEBDE",%,42
"2,3',4,4',5-PEBDE",ng/g,96
"2,3',4,4',5-Pentachlorobiphenyl",ng,34
"2,3',4,4',5-Pentachlorobiphenyl",ng/g,158
"2,3',4,4',5-Pentachlorobiphenyl",ng/kg,246
"2,3',4,4',5-Pentachlorobiphenyl",ng/l,50
"2,3',4,4',5-Pentachlorobiphenyl",pg/g,74
"2,3',4,4',5-Pentachlorobiphenyl",pg/l,10
"2,3',4,4',5-Pentachlorobiphenyl",ppb,1
"2,3',4,4',5-Pentachlorobiphenyl",ug/g,6
"2,3',4,4',6-Pentachlorobiphenyl",ng,30
"2,3',4,4',6-Pentachlorobiphenyl",ng/g,6
"2,3',4,4',6-Pentachlorobiphenyl",pg/g,58
"2,3',4,4',6-Pentachlorobiphenyl",ug/g,6
"2,3',4,4'-Tetrachlorobiphenyl",ng,33
"2,3',4,4'-Tetrachlorobiphenyl",ng/g,10
"2,3',4,4'-Tetrachlorobiphenyl",ng/kg,246
"2,3',4,4'-Tetrachlorobiphenyl",pg/g,64
"2,3',4,4'-Tetrachlorobiphenyl",pg/l,5
"2,3',4,4'-Tetrachlorobiphenyl",ppb,1
"2,3',4,4'-Tetrachlorobiphenyl",ug/g,6
"2,3',4,5',6-Pentachlorobiphenyl",ng/kg,246
"2,3',4,5',6-Pentachlorobiphenyl",pg/g,2
"2,3',4,5'-Tetrachlorobiphenyl",ng/kg,246
"2,3',4,5'-Tetrachlorobiphenyl",pg/g,2
"2,3',4,5,5'-Pentachlorobiphenyl",ng/kg,246
"2,3',4,5,5'-Pentachlorobiphenyl",pg/g,6
"2,3',4,5-Tetrachlorobiphenyl",ng/g,38
"2,3',4,5-Tetrachlorobiphenyl",ng/kg,246
"2,3',4,5-Tetrachlorobiphenyl",pg/g,4
"2,3',4,6-Tetrachlorobiphenyl",ng/g,16
"2,3',4,6-Tetrachlorobiphenyl",pg/g,8
"2,3',4-Trichlorobiphenyl",ng,30
"2,3',4-Trichlorobiphenyl",ng/g,35
"2,3',4-Trichlorobiphenyl",ng/kg,246
"2,3',4-Trichlorobiphenyl",pg/g,52
"2,3',4-Trichlorobiphenyl",pg/l,4
"2,3',4-Trichlorobiphenyl",ppb,1
"2,3',5',6-Tetrachlorobiphenyl",ng/g,4
"2,3',5',6-Tetrachlorobiphenyl",ng/kg,246
"2,3',5'-Trichlorobiphenyl",%,42
"2,3',5'-Trichlorobiphenyl",ng/kg,246
"2,3',5'-Trichlorobiphenyl",pg/g,4
"2,3',5,5'-Tetrachlorobiphenyl",ng/kg,246
"2,3',5,5'-Tetrachlorobiphenyl",pg/g,6
"2,3',5-Trichlorobiphenyl",ng,30
"2,3',5-Trichlorobiphenyl",ng/g,53
"2,3',5-Trichlorobiphenyl",ng/l,50
"2,3',5-Trichlorobiphenyl",pg/g,60
"2,3',5-Trichlorobiphenyl",pg/l,4
"2,3',5-Trichlorobiphenyl",ppb,1
"2,3',6-Trichlorobiphenyl",ng,14
"2,3',6-Trichlorobiphenyl",ng/kg,246
"2,3',6-Trichlorobiphenyl",pg/g,6
"2,3'-Dichlorobiphenyl",ng,30
"2,3'-Dichlorobiphenyl",ng/g,12
"2,3'-Dichlorobiphenyl",ng/kg,246
"2,3'-Dichlorobiphenyl",ng/l,50
"2,3'-Dichlorobiphenyl",pg/g,28
"2,3,3',4',5',6-Hexachlorobiphenyl",ng,1
"2,3,3',4',5',6-Hexachlorobiphenyl",ng/g,54
"2,3,3',4',5',6-Hexachlorobiphenyl",ng/kg,246
"2,3,3',4',5',6-Hexachlorobiphenyl",pg/g,4
"2,3,3',4',5'-Pentachlorobiphenyl",ng/kg,246
"2,3,3',4',5'-Pentachlorobiphenyl",pg/g,8
"2,3,3',4',5,5',6-Heptachlorobiphenyl",ng,30
"2,3,3',4',5,5',6-Heptachlorobiphenyl",ng/g,64
"2,3,3',4',5,5',6-Heptachlorobiphenyl",pg/g,74
"2,3,3',4',5,5',6-Heptachlorobiphenyl",ppb,1
"2,3,3',4',5,5',6-Heptachlorobiphenyl",ug/g,6
"2,3,3',4',5,5'-Hexachlorobiphenyl",ng/kg,246
"2,3,3',4',5,5'-Hexachlorobiphenyl",pg/g,8
"2,3,3',4',5,6-Hexachlorobiphenyl",ng,4
"2,3,3',4',5,6-Hexachlorobiphenyl",ng/g,60
"2,3,3',4',5,6-Hexachlorobiphenyl",pg/g,8
"2,3,3',4',5-Pentachlorobiphenyl",ng,30
"2,3,3',4',5-Pentachlorobiphenyl",ng/g,9
"2,3,3',4',5-Pentachlorobiphenyl",pg/g,62
"2,3,3',4',5-Pentachlorobiphenyl",pg/l,1
"2,3,3',4',5-Pentachlorobiphenyl",ppb,1
"2,3,3',4',5-Pentachlorobiphenyl",ug/g,6
"2,3,3',4',6-Pentachlorobiphenyl",ng,34
"2,3,3',4',6-Pentachlorobiphenyl",ng/g,65
"2,3,3',4',6-Pentachlorobiphenyl",pg/g,8
"2,3,3',4',6-Pentachlorobiphenyl",ppb,1
"2,3,3',4',6-Pentachlorobiphenyl",ug/g,6
"2,3,3',4'-Tetrachlorobiphenyl",ng,1
"2,3,3',4'-Tetrachlorobiphenyl",ng/kg,246
"2,3,3',4'-Tetrachlorobiphenyl",pg/g,6
"2,3,3',4,4',5',6-Heptachlorobiphenyl",ng,30
"2,3,3',4,4',5',6-Heptachlorobiphenyl",ng/g,61
"2,3,3',4,4',5',6-Heptachlorobiphenyl",ng/kg,246
"2,3,3',4,4',5',6-Heptachlorobiphenyl",pg/g,74
"2,3,3',4,4',5',6-Heptachlorobiphenyl",ppb,1
"2,3,3',4,4',5',6-Heptachlorobiphenyl",ug/g,6
"2,3,3',4,4',5'-Hexachlorobiphenyl",ng,4
"2,3,3',4,4',5'-Hexachlorobiphenyl",ng/g,126
"2,3,3',4,4',5'-Hexachlorobiphenyl",pg/g,8
"2,3,3',4,4',5'-Hexachlorobiphenyl",ppb,1
"2,3,3',4,4',5'-Hexachlorobiphenyl",ug/g,6
"2,3,3',4,4',5,5',6-Octachlorobiphenyl",ng,30
"2,3,3',4,4',5,5',6-Octachlorobiphenyl",ng/g,61
"2,3,3',4,4',5,5',6-Octachlorobiphenyl",ng/kg,246
"2,3,3',4,4',5,5',6-Octachlorobiphenyl",pg/g,70
"2,3,3',4,4',5,5',6-Octachlorobiphenyl",ug/g,6
"2,3,3',4,4',5,5'-Heptachlorobiphenyl",ng,30
"2,3,3',4,4',5,5'-Heptachlorobiphenyl",ng/g,59
"2,3,3',4,4',5,5'-Heptachlorobiphenyl",ng/kg,246
"2,3,3',4,4',5,5'-Heptachlorobiphenyl",pg/g,42
"2,3,3',4,4',5,5'-Heptachlorobiphenyl",ppb,1
"2,3,3',4,4',5,5'-Heptachlorobiphenyl",ug/g,6
"2,3,3',4,4',5,6-Heptachlorobiphenyl",ng,1
"2,3,3',4,4',5,6-Heptachlorobiphenyl",ng/g,57
"2,3,3',4,4',5,6-Heptachlorobiphenyl",ng/kg,246
"2,3,3',4,4',5,6-Heptachlorobiphenyl",pg/g,74
"2,3,3',4,4',5-Hexachlorobiphenyl",ng,32
"2,3,3',4,4',5-Hexachlorobiphenyl",ng/g,107
"2,3,3',4,4',5-Hexachlorobiphenyl",pg/g,8
"2,3,3',4,4',5-Hexachlorobiphenyl",ppb,1
"2,3,3',4,4',5-Hexachlorobiphenyl",ug/g,6
"2,3,3',4,4',6-Hexachlorobiphenyl",ng,34
"2,3,3',4,4',6-Hexachlorobiphenyl",ng/g,76
"2,3,3',4,4',6-Hexachlorobiphenyl",ng/kg,246
"2,3,3',4,4',6-Hexachlorobiphenyl",pg/g,68
"2,3,3',4,4',6-Hexachlorobiphenyl",pg/l,1
"2,3,3',4,4',6-Hexachlorobiphenyl",ppb,1
"2,3,3',4,4',6-Hexachlorobiphenyl",ug/g,6
"2,3,3',4,4'-Pentachlorobiphenyl",ng,4
"2,3,3',4,4'-Pentachlorobiphenyl",ng/g,91
"2,3,3',4,4'-Pentachlorobiphenyl",ng/kg,246
"2,3,3',4,4'-Pentachlorobiphenyl",pg/g,6
"2,3,3',4,4'-Pentachlorobiphenyl",pg/l,3
"2,3,3',4,4'-Pentachlorobiphenyl",ppb,1
"2,3,3',4,4'-Pentachlorobiphenyl",ug/g,6
"2,3,3',4,5',6-Hexachlorobiphenyl",ng/kg,246
"2,3,3',4,5'-Pentachlorobiphenyl",pg/g,8
"2,3,3',4,5,5',6-Heptachlorobiphenyl",ng/kg,246
"2,3,3',4,5,5'-Hexachlorobiphenyl",ng/kg,246
"2,3,3',4,5,5'-Hexachlorobiphenyl",pg/g,8
"2,3,3',4,5,6-Hexachlorobiphenyl",ng/kg,8
"2,3,3',4,5,6-Hexachlorobiphenyl",pg/g,2
"2,3,3',4,5-Pentachlorobiphenyl",ng/kg,246
"2,3,3',4,6-Pentachlorobiphenyl",ng/kg,246
"2,3,3',4,6-Pentachlorobiphenyl",pg/g,8
"2,3,3',4-Tetrachlorobiphenyl",ng/kg,246
"2,3,3',5',6-Pentachlorobiphenyl",pg/g,8
"2,3,3',5'-Tetrachlorobiphenyl",ng/kg,246
"2,3,3',5'-Tetrachlorobiphenyl",pg/g,2
"2,3,3',5,5',6-Hexachlorobiphenyl",ng/kg,246
"2,3,3',5,5',6-Hexachlorobiphenyl",pg/g,4
"2,3,3',5,5'-Pentachlorobiphenyl",ng/kg,246
"2,3,3',5,5'-Pentachlorobiphenyl",pg/g,2
"2,3,3',5,6-Pentachlorobiphenyl",ng/kg,246
"2,3,3',5-Tetrachlorobiphenyl",ng/kg,246
"2,3,3',5-Tetrachlorobiphenyl",pg/g,2
"2,3,3',6-Tetrachlorobiphenyl",ng/g,42
"2,3,3',6-Tetrachlorobiphenyl",pg/g,8
"2,3,3'-Trichlorobiphenyl",pg/g,8
"2,3,4',5,6-Pentachlorobiphenyl",pg/g,8
"2,3,4',5-Tetrachlorobiphenyl",ng,30
"2,3,4',5-Tetrachlorobiphenyl",ng/g,5
"2,3,4',5-Tetrachlorobiphenyl",ng/kg,246
"2,3,4',5-Tetrachlorobiphenyl",pg/g,58
"2,3,4',5-Tetrachlorobiphenyl",ug/g,6
"2,3,4',6-Tetrachlorobiphenyl",ng,27
"2,3,4',6-Tetrachlorobiphenyl",ng/g,70
"2,3,4',6-Tetrachlorobiphenyl",ng/kg,246
"2,3,4',6-Tetrachlorobiphenyl",pg/g,64
"2,3,4',6-Tetrachlorobiphenyl",pg/l,9
"2,3,4'-Trichlorobiphenyl",ng/g,11
"2,3,4'-Trichlorobiphenyl",ng/kg,246
"2,3,4'-Trichlorobiphenyl",ng/l,50
"2,3,4'-Trichlorobiphenyl",ppb,1
"2,3,4,4',5,6-Hexachlorobiphenyl",%,90
"2,3,4,4',5,6-Hexachlorobiphenyl",None,5
"2,3,4,4',5,6-Hexachlorobiphenyl",pg/g,6
"2,3,4,4',5-Pentachlorobiphenyl",ng,21
"2,3,4,4',5-Pentachlorobiphenyl",ng/g,121
"2,3,4,4',5-Pentachlorobiphenyl",ng/kg,246
"2,3,4,4',5-Pentachlorobiphenyl",ppb,1
"2,3,4,4',5-Pentachlorobiphenyl",ug/g,6
"2,3,4,4'-Tetrachlorobiphenyl",ng/g,34
"2,3,4,4'-Tetrachlorobiphenyl",ng/kg,246
"2,3,4,4'-Tetrachlorobiphenyl",pg/g,6
"2,3,4,5,6-Pentachlorobiphenyl",pg/g,8
"2,3,4,5,6-pentachloro-p-terphenyl",%,54
"2,3,4,5-Tetrachlorobiphenyl",pg/g,8
"2,3,4,6,7,8-Hexachlorodibenzofuran",None,36
"2,3,4,6,7,8-Hexachlorodibenzofuran",ng/kg,334
"2,3,4,6,7,8-Hexachlorodibenzofuran",pg/g,13
"2,3,4,6,7,8-Hexachlorodibenzofuran",ppt,1
"2,3,4,6-Tetrachlorobiphenyl",pg/g,8
"2,3,4,6-Tetrachlorophenol",ug/l,9
"2,3,4,7,8-Pentachlorodibenzofuran",None,26
"2,3,4,7,8-Pentachlorodibenzofuran",ng/kg,318
"2,3,4,7,8-Pentachlorodibenzofuran",pg/g,19
"2,3,4,7,8-Pentachlorodibenzofuran",ppt,1
"2,3,4-Trichlorobiphenyl",ng,46
"2,3,4-Trichlorobiphenyl",ng/g,40
"2,3,4-Trichlorobiphenyl",pg/g,64
"2,3,4-Trichlorobiphenyl",pg/l,11
"2,3,5,6-Tetrachlorobiphenyl",%,146
"2,3,5,6-Tetrachlorobiphenyl",None,5
"2,3,5,6-Tetrachlorobiphenyl",pg/g,8
"2,3,5-Trichlorobiphenyl",ng/kg,246
"2,3,6-Trichlorobiphenyl",ng,14
"2,3,6-Trichlorobiphenyl",ng/g,24
"2,3,6-Trichlorobiphenyl",ng/kg,246
"2,3,6-Trichlorobiphenyl",pg/g,4
"2,3,6-Trichlorophenol",ug/kg,238
"2,3,6-Trimethylnaphthalene",ug/kg,38
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",None,20
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",ng/kg,306
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",pg/g,19
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",ppt,1
"2,3,7,8-Tetrachlorodibenzo-p-dioxin, TEQ",pg/g,14
"2,3,7,8-Tetrachlorodibenzofuran",None,2
"2,3,7,8-Tetrachlorodibenzofuran",ng/kg,336
"2,3,7,8-Tetrachlorodibenzofuran",pg/g,19
"2,3,7,8-Tetrachlorodibenzofuran",ppt,1
"2,3-Dichlorobiphenyl",ng/g,6
"2,3-Dichlorobiphenyl",ng/kg,246
"2,3-Dichlorobiphenyl",pg/g,4
"2,3-Dimethylnaphthalene",ug/kg,2
"2,4',5-Trichlorobiphenyl",ng,15
"2,4',5-Trichlorobiphenyl",ng/g,65
"2,4',5-Trichlorobiphenyl",ng/kg,246
